id,brand_model,rating_year,stars,adult_pct,child_pct,vru_pct,sa_pct,adult_points,adult_max_points,child_points,child_max_points,vru_points,vru_max_points,sa_points,sa_max_points,total_points,total_max_points,total_points_ratio,official_weighted_score,year_bucket,P_weighted,weights_used_sum,Subscore35,SafetyRaw,SafetyScore,manufactured_from,manufactured_to,on_sale_from,on_sale_to,variants,energy_sources,is_current_model,is_conventional_only,superseded_model_count,fitted_autonomous_emergency_braking,fitted_lane_support_system,image_url,manufacturer_icon,safety_rating_image_path,vehicle_url_api,vehicle_url_view,manufacturer_model_url,tags
f3ed7b,MG 4 EV Urban,2025,5,87,86,85,82,34.88,40,42.62,49,54.12,63,14.78,18,146.4,170,0.86117647,0.85879093,2023p,0.9200129411764706,170,59.80084117647059,94.80084117647058,89.37383348255848,Dec-25,onwards,Mar-26,onwards,All variants,Battery electric,TRUE,FALSE,0,standard,standard,https://s3.amazonaws.com/cdn.ancap.com.au/app/public/assets/ac9f7bcb7338a0704dc8bc374b496e267e42e22c/large.png?1776833063,https://www.ancap.com.au/assets/manufacturers/small/mg-64908a954f2375bfe93427a0a7639fe122f0f3e9a9f2e5e8e32d090836a8b44d.png,https://www.ancap.com.au/assets/logos/ratings/star-rating-logo-5-2025-997c7985fb400255a9ba79b38521ba860901a2b17b1167e1fa6249c0cf799600.png,https://api.ancap.com.au/v1/safety-ratings/f3ed7b,https://www.ancap.com.au/safety-ratings/f3ed7b,https://www.ancap.com.au/safety-ratings/mg/4-ev-urban,"category.popular_models,category.family,category.younger_driver,category.older_driver,category.city_driver,category.fleet_manager,category.employer,body_type.hatch,price.under_35000,price.35000_to_65000,seats.5_seater"
6d3f38,BYD DOLPHIN,2023,5,89,86,85,77,35.81,40,42.43,49,53.64,63,14.04,18,145.92,170,0.85835294,0.85756939,2023p,0.9192835294117648,170,59.753429411764714,94.75342941176471,89.23574454437336,Jun-23,onwards,Oct-23,onwards,All variants (see Technical Report),Battery electric,TRUE,FALSE,0,standard,standard,https://s3.amazonaws.com/cdn.ancap.com.au/app/public/assets/773c61cb196d04f690e5176cd7e215eb057f4e66/large.png?1698200101,https://www.ancap.com.au/assets/manufacturers/small/byd-ddfb68db4046218b9ee4a3bc429d6824ab6c3b6456aae92a6b61865f2addc89e.png,https://www.ancap.com.au/assets/logos/ratings/star-rating-logo-5-2023-e042d27b55c566111e592e7d65971206f5985a5bbf3378e38387b6f416999c17.png,https://api.ancap.com.au/v1/safety-ratings/6d3f38,https://www.ancap.com.au/safety-ratings/6d3f38,https://www.ancap.com.au/safety-ratings/byd/dolphin,"category.family,category.younger_driver,category.older_driver,category.city_driver,category.fleet_manager,category.employer,body_type.hatch,price.35000_to_65000,seats.5_seater"
cbd707,Volkswagen Tayron,2025,5,87,87,83,85,35.03,40,42.81,49,52.91,63,15.46,18,146.21,170,0.86005882,0.86478073,2023p,0.9183458823529413,170,59.692482352941184,94.69248235294118,89.05823344157727,Feb-25,onwards,Sep-25,onwards,All variants,Petrol / diesel and plug-in hybrid,TRUE,FALSE,0,standard,standard,https://s3.amazonaws.com/cdn.ancap.com.au/app/public/assets/b0dd3ef2f6405d1528ba0e3eae4142675dfc9965/large.png?1759970564,https://www.ancap.com.au/assets/manufacturers/small/volkswagen-478585519095ad1c9ae6459c9b7e8cb60489d4e4d19fb0b3064d1adc665cbf40.png,https://www.ancap.com.au/assets/logos/ratings/star-rating-logo-5-2025-997c7985fb400255a9ba79b38521ba860901a2b17b1167e1fa6249c0cf799600.png,https://api.ancap.com.au/v1/safety-ratings/cbd707,https://www.ancap.com.au/safety-ratings/cbd707,https://www.ancap.com.au/safety-ratings/volkswagen/tayron,"category.popular_models,category.family,category.older_driver,category.city_driver,category.rural_driver,category.fleet_manager,category.employer,body_type.suv,body_type.awd,price.35000_to_65000,price.over_65000,seats.5_seater,seats.7_seater"
bf62bc,Mercedes-Benz EQE,2022,5,95,92,83,82,36.37,38,45.22,49,45.15,54,13.13,16,139.87,157,0.89089172,0.89876076,2020_2022,0.9172242038216563,157,59.619573248407654,94.61957324840765,88.84588233227934,Aug-22,onwards,Feb-23,onwards,All variants,Battery electric,TRUE,FALSE,0,standard,standard,https://s3.amazonaws.com/cdn.ancap.com.au/app/public/assets/9590aeacd0aacd73edabd80207f7b7b4e2ae0afe/large.png?1683763879,https://www.ancap.com.au/assets/manufacturers/small/mercedes-benz-e77b2c8ebc765c6efef479ecc989fa49ba959a9a19a44f8687fc88ae0cc0d2e4.png,https://www.ancap.com.au/assets/logos/ratings/star-rating-logo-5-2022-6fb1f080765af2b98c7726db6ea8d07e44609565ad1d219235702f4016f0b6e1.png,https://api.ancap.com.au/v1/safety-ratings/bf62bc,https://www.ancap.com.au/safety-ratings/bf62bc,https://www.ancap.com.au/safety-ratings/mercedes-benz/eqe,"category.family,category.older_driver,category.city_driver,category.fleet_manager,category.employer,category.luxury,body_type.sedan,body_type.awd,price.over_65000,seats.5_seater"
c983bb,Audi Q6 e-tron,2024,5,91,87,81,82,36.57,40,42.87,49,51.51,63,14.91,18,145.86,170,0.858,0.86987007,2023p,0.9167388235294118,170,59.58802352941177,94.58802352941177,88.75399232938224,Sep-24,onwards,Nov-24,onwards,All variants,Battery electric,TRUE,FALSE,0,standard,standard,https://s3.amazonaws.com/cdn.ancap.com.au/app/public/assets/386d07c025e936375b0e59085ad833f3afe021b4/large.png?1739848902,https://www.ancap.com.au/assets/manufacturers/small/audi-5fe869fc85fa218e107a3e484f7ea94dd48532030980d4fa091ba22e3b46ade6.png,https://www.ancap.com.au/assets/logos/ratings/star-rating-logo-5-2024-c6164fac702658394851ade2462c3593ebea4131b5f9c00875bcc1784ca49bc0.png,https://api.ancap.com.au/v1/safety-ratings/c983bb,https://www.ancap.com.au/safety-ratings/c983bb,https://www.ancap.com.au/safety-ratings/audi/q6-e-tron,"category.family,category.older_driver,category.city_driver,category.fleet_manager,category.luxury,body_type.suv,body_type.awd,price.over_65000,seats.5_seater"
ac1053,Geely EX5,2025,5,86,87,83,85,34.53,40,42.79,49,52.77,63,15.43,18,145.52,170,0.856,0.85892132,2023p,0.9158517647058825,170,59.53036470588236,94.53036470588236,88.58605836262159,Jan-25,onwards,Mar-25,onwards,All variants,Battery electric,TRUE,FALSE,0,standard,standard,https://s3.amazonaws.com/cdn.ancap.com.au/app/public/assets/0cdc03680d642a432d73c777738bbce8bd6c266a/large.png?1744000149,https://www.ancap.com.au/assets/manufacturers/small/geely-09cf069a04f9ce839ce8b023e5af7bb8d0b1b0405418e76eda366e8890627c2c.png,https://www.ancap.com.au/assets/logos/ratings/star-rating-logo-5-2025-997c7985fb400255a9ba79b38521ba860901a2b17b1167e1fa6249c0cf799600.png,https://api.ancap.com.au/v1/safety-ratings/ac1053,https://www.ancap.com.au/safety-ratings/ac1053,https://www.ancap.com.au/safety-ratings/geely/ex5,"category.popular_models,category.family,category.younger_driver,category.older_driver,category.city_driver,category.fleet_manager,category.employer,body_type.suv,seats.5_seater,price.35000_to_65000"
854afd,Polestar 4,2025,5,92,87,81,79,37,40,43,49,51.62,63,14.26,18,145.88,170,0.85811765,0.86782766,2023p,0.9158023529411764,170,59.52715294117647,94.52715294117647,88.57670395067997,Aug-24,onwards,Nov-24,onwards,All variants,Battery electric,TRUE,FALSE,0,standard,standard,https://s3.amazonaws.com/cdn.ancap.com.au/app/public/assets/8783091e77dd77c5754e40ea9e4fd4947234807d/large.png?1751958872,https://www.ancap.com.au/assets/manufacturers/small/polestar-35314d15a4d8e27304b908b4e1724bb6c5b209c67cbc1dfa68aef87fe79aad34.png,https://www.ancap.com.au/assets/logos/ratings/star-rating-logo-5-2025-997c7985fb400255a9ba79b38521ba860901a2b17b1167e1fa6249c0cf799600.png,https://api.ancap.com.au/v1/safety-ratings/854afd,https://www.ancap.com.au/safety-ratings/854afd,https://www.ancap.com.au/safety-ratings/polestar/4,"category.older_driver,category.fleet_manager,category.employer,category.luxury,body_type.suv,body_type.awd,price.over_65000,seats.5_seater"
3926f1,Subaru Crosstrek,2024,5,83,91,85,73,33.58,40,44.87,49,53.99,63,13.29,18,145.73,170,0.85723529,0.83800635,2023p,0.9150211764705883,170,59.47637647058824,94.47637647058824,88.42881515236556,Apr-25,onwards,Jun-25,onwards,All variants (see Technical Report),Petrol / diesel and hybrid,TRUE,FALSE,0,standard,standard,https://s3.amazonaws.com/cdn.ancap.com.au/app/public/assets/7f1f72199cc815453da9e92c201cec6633a64e9f/large.png?1749009990,https://www.ancap.com.au/assets/manufacturers/small/subaru-cc06700c9f6c24b8d6ba376fb784ada8b43b605b581442d1f6bf6c1a0e49ddf5.png,https://www.ancap.com.au/assets/logos/ratings/star-rating-logo-5-2024-c6164fac702658394851ade2462c3593ebea4131b5f9c00875bcc1784ca49bc0.png,https://api.ancap.com.au/v1/safety-ratings/3926f1,https://www.ancap.com.au/safety-ratings/3926f1,https://www.ancap.com.au/safety-ratings/subaru/crosstrek,"category.popular_models,category.family,category.younger_driver,category.older_driver,category.city_driver,category.rural_driver,category.tradesperson,category.fleet_manager,category.employer,body_type.suv,body_type.awd,price.35000_to_65000,seats.5_seater"
6f1428,Skoda Kodiaq,2024,5,89,87,82,81,35.66,40,42.94,49,51.73,63,14.69,18,145.02,170,0.85305882,0.85930975,2023p,0.9146835294117647,170,59.45442941176471,94.45442941,88.36489333743145,Oct-24,onwards,Mar-25,onwards,All variants,Petrol / diesel and plug-in hybrid,TRUE,FALSE,1,standard,standard,https://s3.amazonaws.com/cdn.ancap.com.au/app/public/assets/0b990cb5586ef6484bc1ee0d6442b28f271040d8/large.png?1742798846,https://www.ancap.com.au/assets/manufacturers/small/skoda-cda08028a473eee106382fe717e8f617643d024cbf7175094445b52bde5cac8b.png,https://www.ancap.com.au/assets/logos/ratings/star-rating-logo-5-2024-c6164fac702658394851ade2462c3593ebea4131b5f9c00875bcc1784ca49bc0.png,https://api.ancap.com.au/v1/safety-ratings/6f1428,https://www.ancap.com.au/safety-ratings/6f1428,https://www.ancap.com.au/safety-ratings/skoda/kodiaq,"category.popular_models,category.family,category.city_driver,category.rural_driver,category.fleet_manager,category.employer,body_type.suv,body_type.awd,price.35000_to_65000,seats.7_seater"
a1e728,Volkswagen Tiguan,2024,5,83,88,84,84,33.53,40,43.25,49,53.46,63,15.28,18,145.52,170,0.856,0.85132268,2023p,0.9143576470588235,170,59.433247058823525,94.43324705882353,88.30319876343583,Mar-24,onwards,Jul-24,onwards,All variants,Petrol / diesel and plug-in hybrid,TRUE,FALSE,3,standard,standard,https://s3.amazonaws.com/cdn.ancap.com.au/app/public/assets/b426fe0a561684ef46286da8c227c79afad77530/large.png?1734509159,https://www.ancap.com.au/assets/manufacturers/small/volkswagen-478585519095ad1c9ae6459c9b7e8cb60489d4e4d19fb0b3064d1adc665cbf40.png,https://www.ancap.com.au/assets/logos/ratings/star-rating-logo-5-2024-c6164fac702658394851ade2462c3593ebea4131b5f9c00875bcc1784ca49bc0.png,https://api.ancap.com.au/v1/safety-ratings/a1e728,https://www.ancap.com.au/safety-ratings/a1e728,https://www.ancap.com.au/safety-ratings/volkswagen/tiguan,"category.popular_models,category.family,category.older_driver,category.city_driver,category.rural_driver,category.fleet_manager,category.employer,body_type.suv,body_type.awd,price.35000_to_65000,seats.5_seater"
96e271,Omoda 9,2025,5,90,87,81,82,36.25,40,42.81,49,51.44,63,14.78,18,145.28,170,0.85458824,0.8647585,2023p,0.914244706,170,59.42590588235294,94.42590588235294,88.28181725042651,May-25,onwards,Jul-25,onwards,All variants,Plug-in hybrid,TRUE,FALSE,0,standard,standard,https://s3.amazonaws.com/cdn.ancap.com.au/app/public/assets/76404f341308e1031234c50f13f29fd89f20554e/large.png?1756798015,https://www.ancap.com.au/assets/manufacturers/small/omoda-4f8a74dabc205e0f9f28945f487c210da9a7854aa09fd8225d859fbe82003f3b.png,https://www.ancap.com.au/assets/logos/ratings/star-rating-logo-5-2025-997c7985fb400255a9ba79b38521ba860901a2b17b1167e1fa6249c0cf799600.png,https://api.ancap.com.au/v1/safety-ratings/96e271,https://www.ancap.com.au/safety-ratings/96e271,https://www.ancap.com.au/safety-ratings/omoda/9,"category.family,category.younger_driver,category.older_driver,category.city_driver,category.fleet_manager,category.employer,body_type.suv,body_type.awd,price.over_65000,seats.5_seater"
